id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,broad_sector,market_cap_crore,pe_ratio,pb_ratio,dividend_yield_pct,sales,net_profit,dividend_payout,peer_group_name,is_benchmark,return_on_equity_pct_percentile,net_profit_margin_pct_percentile,asset_turnover_percentile,free_cash_flow_cr_percentile,revenue_cagr_5yr_percentile,pat_cagr_5yr_percentile,debt_to_equity_percentile,interest_coverage_percentile,benchmark_score,score_difference
1,ABB,Dec 2012,8.77,12.0,22.41,0.0,,1.8225,42.0,59.0,68.0,3.081,25.0,0.0,101.0,,,,,Industrials,,,,,1653.0,145.0,25.0,Industrial Equipment,0,52.083333333333336,70.83333333333334,8.333333333333332,62.5,,,29.166666666666668,,,
3,ABB,Mar 2014,8.7,12.0,25.13,0.0,,1.9982,0.0,0.0,93.0,3.7524,25.0,0.0,0.0,,,,,Industrials,,,,,2276.0,198.0,25.0,Industrial Equipment,0,25.0,75.0,4.166666666666666,66.66666666666666,,,29.166666666666668,,,
5,ABB,Mar 2015,10.0,14.0,24.44,0.0,,1.6659,-1899.0,1864.0,108.0,4.4619,29.0,0.0,-35.0,,,,,Industrials,,,,,2289.0,229.0,29.0,Industrial Equipment,0,29.166666666666668,54.166666666666664,12.5,100.0,,,29.166666666666668,,,
7,ABB,Mar 2016,9.76,14.0,21.34,0.0,138.3333,1.6176,728.0,816.0,120.0,5.6905,29.0,0.0,1544.0,,,,,Industrials,,,,,2614.0,255.0,29.0,Industrial Equipment,0,58.333333333333336,58.333333333333336,16.666666666666664,37.5,,,29.166666666666668,42.857142857142854,,
9,ABB,Mar 2017,9.54,14.0,19.97,0.0,227.5,1.4051,459.0,1730.0,130.0,6.6048,31.0,0.0,2189.0,,,,,Industrials,,,,,2903.0,277.0,31.0,Industrial Equipment,0,62.5,66.66666666666666,20.833333333333336,45.83333333333333,,,29.166666666666668,19.047619047619047,,
11,ABB,Mar 2018,12.16,16.0,23.69,0.0,160.5,1.3651,-994.0,3192.0,189.0,8.0619,29.0,0.0,2198.0,14.81,22.56,22.68,20.02,Industrials,,,,,3298.0,401.0,29.0,Industrial Equipment,0,37.5,37.5,25.0,95.83333333333334,7.142857142857142,14.285714285714285,29.166666666666668,28.57142857142857,,
13,ABB,Mar 2019,12.23,16.0,22.41,0.0,359.0,1.2509,-459.0,3050.0,212.0,9.5619,31.0,0.0,2591.0,10.08,17.84,17.92,15.28,Industrials,844312.98,19.29,14.26,0.84,3679.0,450.0,31.0,Industrial Equipment,0,52.083333333333336,29.166666666666668,29.166666666666668,83.33333333333334,50.0,57.14285714285714,29.166666666666668,9.523809523809524,,
15,ABB,Mar 2020,14.49,18.0,24.39,0.072,96.7778,1.1539,-206.0,5643.0,279.0,11.5762,90.0,175.0,5437.0,12.33,20.96,20.9,18.06,Industrials,923674.33,67.54,13.03,3.9,4093.0,593.0,90.0,Industrial Equipment,0,33.33333333333333,25.0,45.83333333333333,75.0,14.285714285714285,35.714285714285715,100.0,52.38095238095239,,
17,ABB,Mar 2021,16.03,21.0,26.56,0.0588,55.7222,1.1224,-225.0,4009.0,325.0,12.3905,85.0,153.0,3784.0,10.52,22.06,22.05,18.21,Industrials,1020674.09,62.63,6.67,1.58,4310.0,691.0,85.0,Industrial Equipment,0,20.833333333333336,20.833333333333336,54.166666666666664,79.16666666666666,35.714285714285715,21.428571428571427,95.83333333333334,90.47619047619048,,
19,ABB,Mar 2022,16.26,22.0,28.33,0.0539,61.3158,1.1631,161.0,3936.0,376.0,13.4286,73.0,152.0,4097.0,11.1,23.6,23.67,19.46,Industrials,1185994.82,18.68,4.75,3.35,4913.0,799.0,73.0,Industrial Equipment,0,16.666666666666664,16.666666666666664,41.66666666666667,54.166666666666664,28.57142857142857,7.142857142857142,91.66666666666666,80.95238095238095,,
21,ABB,Mar 2023,17.74,23.0,29.77,0.0354,85.0,1.1741,-922.0,4699.0,447.0,15.181,73.0,113.0,3777.0,10.16,18.8,18.79,15.92,Industrials,1161513.28,58.34,12.72,1.05,5349.0,949.0,73.0,Industrial Equipment,0,12.5,12.5,37.5,87.5,42.857142857142854,50.0,87.5,57.14285714285714,,
23,ABB,Mar 2024,20.53,25.0,32.47,0.0224,141.75,1.1263,1095.0,4943.0,565.0,17.6143,73.0,83.0,6038.0,9.72,21.69,21.66,17.69,Industrials,1536236.24,75.58,4.48,0.96,5849.0,1201.0,73.0,Industrial Equipment,0,8.333333333333332,8.333333333333332,50.0,20.833333333333336,57.14285714285714,28.57142857142857,83.33333333333334,38.095238095238095,,
24,ADANIENSOL,Mar 2014,,,0.0,0.0,,,0.0,0.0,0.0,0.1,,0.0,0.0,,,,,Energy,,,,,0.0,0.0,,Renewable Energy,0,90.9090909090909,,,45.45454545454545,,,9.090909090909092,,,
25,ADANIENSOL,Mar 2015,-5.34,78.0,-0.65,8.9575,1.4247,0.0114,-1899.0,1864.0,0.0,0.0994,0.0,9701.0,-35.0,,,,,Energy,,,,,131.0,-7.0,0.0,Renewable Energy,0,100.0,100.0,100.0,100.0,,,100.0,100.0,,
26,ADANIENSOL,Mar 2016,16.77,88.0,13.77,3.2129,2.0867,0.1868,728.0,816.0,3.0,0.2429,0.0,8585.0,1544.0,,,,,Energy,,,,,2194.0,368.0,0.0,Renewable Energy,0,36.36363636363637,20.0,90.0,18.181818181818183,,,90.9090909090909,80.0,,
27,ADANIENSOL,Mar 2017,14.46,69.0,14.12,3.0455,2.2179,0.2245,459.0,1730.0,4.0,0.2679,0.0,8975.0,2189.0,,,,,Energy,,,,,2876.0,416.0,0.0,Renewable Energy,0,27.27272727272727,30.0,70.0,27.27272727272727,,,81.81818181818183,60.0,,
28,ADANIENSOL,Mar 2018,28.98,72.0,18.87,1.7216,3.3149,0.2284,-994.0,3192.0,10.0,0.5506,0.0,10428.0,2198.0,,,,,Energy,,,,,3944.0,1143.0,0.0,Renewable Energy,0,9.090909090909092,10.0,60.0,90.9090909090909,,,18.181818181818183,10.0,,
29,ADANIENSOL,Mar 2019,7.649999999999999,38.0,6.950000000000001,2.5037,2.2387,0.2244,-459.0,3050.0,5.0,0.7312,0.0,20137.0,2591.0,,,,0.0,Energy,171905.69,76.72,12.85,2.97,7305.0,559.0,0.0,Renewable Energy,0,81.81818181818183,70.0,80.0,72.72727272727273,,,27.27272727272727,50.0,,
30,ADANIENSOL,Mar 2020,6.18,37.0,8.309999999999999,2.8528,2.0192,0.2875,-206.0,5643.0,7.0,0.7726,0.0,24246.0,5437.0,144.37,,,48.12,Energy,217135.25,35.93,9.79,2.97,11416.0,706.0,0.0,Renewable Energy,0,72.72727272727273,90.0,10.0,54.54545454545454,20.0,,36.36363636363637,90.0,,
31,ADANIENSOL,Mar 2021,13.0,40.0,14.46,3.0379,2.3925,0.2296,-225.0,4009.0,11.0,0.8108,0.0,27095.0,3784.0,35.24,28.51,29.67,31.14,Energy,275655.59,59.65,14.71,4.17,9926.0,1290.0,0.0,Renewable Energy,0,18.181818181818183,40.0,50.0,63.63636363636363,40.0,25.0,72.72727272727273,20.0,,
32,ADANIENSOL,Mar 2022,10.98,37.0,12.47,3.0164,2.3222,0.2372,161.0,3936.0,11.0,0.9012,0.0,29902.0,4097.0,31.38,24.33,22.42,26.04,Energy,306303.52,71.21,6.44,2.37,11258.0,1236.0,0.0,Renewable Energy,0,45.45454545454545,50.0,40.0,36.36363636363637,60.0,50.0,63.63636363636363,30.0,,
33,ADANIENSOL,Mar 2023,9.64,34.0,10.9,2.9168,2.1938,0.2465,-922.0,4699.0,11.0,1.0537,0.0,34270.0,3777.0,27.51,2.31,1.92,10.58,Energy,263283.51,28.96,13.96,2.07,13293.0,1281.0,0.0,Renewable Energy,0,54.54545454545454,60.0,30.0,81.81818181818183,80.0,100.0,45.45454545454545,70.0,,
34,ADANIENSOL,Mar 2024,7.199999999999999,30.0,9.46,2.9325,2.2848,0.2837,1095.0,4943.0,10.0,1.1337,0.0,37070.0,6038.0,17.85,16.43,14.87,16.38,Energy,348517.36,58.5,9.05,1.65,16607.0,1196.0,0.0,Renewable Energy,0,63.63636363636363,80.0,20.0,9.090909090909092,100.0,75.0,54.54545454545454,40.0,,
35,ADANIENT,Mar 2013,2.63,13.0,5.69,3.2404,2.2325,0.4145,-7124.0,14790.0,15.0,19.4509,10.0,69332.0,7666.0,,,,,Industrials,,,,,46375.0,1218.0,10.0,Diversified Conglomerates,1,75.0,50.0,100.0,83.33333333333334,,,91.66666666666666,25.0,,
36,ADANIENT,Mar 2014,4.82,17.0,11.14,3.0298,1.8482,0.4653,221.0,8007.0,20.0,21.5973,7.0,71980.0,8228.0,,,,,Industrials,,,,,54947.0,2646.0,7.0,Diversified Conglomerates,1,8.333333333333332,8.333333333333332,91.66666666666666,41.66666666666667,,,83.33333333333334,91.66666666666666,,
37,ADANIENT,Mar 2015,3.56,19.0,8.93,3.2483,1.8767,0.4932,-2933.0,11465.0,18.0,23.3891,8.0,83571.0,8532.0,,,,,Industrials,,,,,64465.0,2298.0,8.0,Diversified Conglomerates,1,16.666666666666664,16.666666666666664,83.33333333333334,58.333333333333336,,,100.0,75.0,,
38,ADANIENT,Mar 2016,2.94,5.0,7.470000000000001,1.4329,2.0103,0.816,3287.0,1825.0,9.0,12.1618,4.0,19169.0,5112.0,,,,,Industrials,,,,,34008.0,1000.0,4.0,Diversified Conglomerates,1,33.33333333333333,33.33333333333333,33.33333333333333,16.666666666666664,,,41.66666666666667,58.333333333333336,,
39,ADANIENT,Mar 2017,2.53,5.0,6.54,1.4747,2.109,0.7673,-686.0,1460.0,9.0,12.8509,4.0,20846.0,774.0,,,,,Industrials,,,,,36533.0,925.0,4.0,Diversified Conglomerates,1,50.0,58.333333333333336,41.66666666666667,50.0,,,50.0,41.66666666666667,,
40,ADANIENT,Mar 2018,1.65,6.0,3.94,1.1689,1.9208,0.6369,-4707.0,7649.0,7.0,13.7173,6.0,17637.0,2942.0,-4.98,-13.38,-14.14,-10.83,Industrials,,,,,35924.0,594.0,6.0,Diversified Conglomerates,1,83.33333333333334,83.33333333333334,66.66666666666666,75.0,71.42857142857143,71.42857142857143,33.33333333333333,66.66666666666666,-10.83,0.0
41,ADANIENT,Mar 2019,1.25,5.0,3.43,0.7619,1.5218,0.9493,5723.0,2487.0,7.0,13.4145,6.0,11243.0,3236.0,-5.98,-28.17,-18.94,-17.7,Industrials,173718.83,56.08,5.69,2.5,40379.0,506.0,6.0,Diversified Conglomerates,1,100.0,91.66666666666666,8.333333333333332,8.333333333333332,85.71428571428571,100.0,16.666666666666664,100.0,-17.7,0.0
42,ADANIENT,Mar 2020,2.4,5.0,6.140000000000001,0.7328,2.014,0.9259,1372.0,1082.0,10.0,15.4064,10.0,12419.0,2454.0,-7.61,-14.66,-11.09,-11.12,Industrials,217309.44,36.71,2.39,2.72,43403.0,1040.0,10.0,Diversified Conglomerates,1,58.333333333333336,66.66666666666666,16.666666666666664,33.33333333333333,100.0,85.71428571428571,8.333333333333332,50.0,-11.12,0.0
43,ADANIENT,Mar 2021,2.65,6.0,6.1,0.9457,2.1786,0.766,-4568.0,8611.0,8.0,15.5991,12.0,16227.0,4043.0,3.06,0.9,-2.33,0.54,Industrials,205258.66,72.59,8.25,0.24,39537.0,1046.0,12.0,Diversified Conglomerates,1,66.66666666666666,41.66666666666667,50.0,66.66666666666666,57.14285714285714,42.857142857142854,25.0,33.33333333333333,0.54,0.0
44,ADANIENT,Mar 2022,1.14,5.0,3.54,1.8693,1.8709,0.6834,-15656.0,17041.0,7.0,20.2336,14.0,41604.0,1385.0,13.7,-3.16,-4.9,1.88,Industrials,186771.02,56.13,9.8,2.85,69420.0,788.0,14.0,Diversified Conglomerates,1,91.66666666666666,100.0,58.333333333333336,100.0,42.857142857142854,57.14285714285714,75.0,83.33333333333334,1.88,0.0
45,ADANIENT,Mar 2023,1.9,7.0,7.33,1.6096,2.4318,0.9028,2167.0,15459.0,22.0,28.9921,6.0,53200.0,17626.0,28.84,32.46,25.74,29.01,Industrials,196563.95,65.7,5.32,3.93,127540.0,2422.0,6.0,Diversified Conglomerates,1,41.66666666666667,75.0,25.0,25.0,14.285714285714285,28.57142857142857,58.333333333333336,16.666666666666664,29.01,0.0
46,ADANIENT,Mar 2024,3.46,12.0,8.53,1.6714,2.7493,0.6004,-8455.0,18767.0,28.0,34.2772,5.0,65310.0,10312.0,19.02,45.81,31.95,32.26,Industrials,187927.97,58.87,10.41,0.83,96421.0,3335.0,5.0,Diversified Conglomerates,1,25.0,25.0,75.0,91.66666666666666,28.57142857142857,14.285714285714285,66.66666666666666,8.333333333333332,32.26,0.0
47,ADANIGREEN,Mar 2017,-9.36,80.0,-3.91,3.6135,1.4461,0.0815,-1483.0,1511.0,0.0,0.0944,0.0,4347.0,28.0,,,,,Energy,,,,,502.0,-47.0,0.0,Power & Utilities,0,88.75,95.0,100.0,80.0,,,78.75,87.5,,
48,ADANIGREEN,Mar 2018,-9.32,57.0,-10.29,7.3557,1.6033,0.0942,-3779.0,4428.0,-1.0,0.0857,0.0,9864.0,649.0,,,,,Energy,,,,,1480.0,-138.0,0.0,Power & Utilities,0,91.25,93.75,97.5,86.25,,,90.0,83.75,-0.87,
49,ADANIGREEN,Mar 2019,-23.08,74.0,-24.57,5.7641,1.4264,0.1404,-1041.0,2666.0,-3.0,0.1236,0.0,11142.0,1625.0,,,,,Energy,485373.12,29.07,10.49,0.27,2058.0,-475.0,0.0,Power & Utilities,0,95.0,97.5,69.375,75.0,,,82.5,88.75,4.15,
50,ADANIGREEN,Mar 2020,-2.67,57.0,-2.89,6.3072,1.3457,0.1384,-1778.0,3743.0,0.0,0.1507,0.0,14866.0,1965.0,,,,,Energy,517543.72,72.14,14.91,0.21,2549.0,-68.0,0.0,Power & Utilities,0,87.5,88.75,71.25,81.25,,,85.0,91.25,4.58,
